"","unitid","year","opeid.x","opeid6","fips.x.x","years_since_entering_repay","cohort_year.x","repay_rate","repay_rate_lowincome","repay_rate_midincome","repay_rate_highincome","repay_rate_dependent","repay_rate_independent","repay_rate_pell","repay_rate_nopell","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_rate_notfirstgen","repay_count","repay_count_lowincome","repay_count_midincome","repay_count_highincome","repay_count_dependent","repay_count_independent","repay_count_pell","repay_count_nopell","repay_count_female","repay_count_male","repay_count_firstgen","repay_count_notfirstgen","fips.y.x","cohort_year.y","race","sex","completion_rate_150pct","fips.x.y","est_fte","fips.y.y","type_of_aid","number_of_students","percent_of_students","average_amount","fips","opeid.y","inst_name_fsa","loan_type","loan_recipients_unitid","num_loans_disbursed_unitid","num_loans_originated_unitid","value_loans_originated_unitid","value_loan_disbursements_unitid","loan_recipients_opeid","num_loans_disbursed_opeid","num_loans_originated_opeid","value_loans_originated_opeid","value_loan_disbursements_opeid","allocation_flag","combined_flag","other_assoc_opeids","hbcu"
"1",100654,2010,"00100200",1002,1,3,2007,0.357312,0.344214,0.356522,0.452632,0.353604,0.376855,0.342545,0.425532,0.393064,0.322791,0.34881,0.362922,2113,1348,575,190,1776,337,1737,376,1038,1075,840,1273,1,2005,1,99,0.231,1,4604,1,1,1063,0.96,NA,1,"00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY",1,3598,7580,4166,13768620,13740317,3598,7580,4166,13768620,13740317,0,0,"","Yes"
"3",100654,2012,"100200",1002,1,5,2007,0.387516,0.377883,0.386218,0.45933,0.383901,0.406504,0.371519,0.462871,0.427706,0.347222,0.393134,0.383903,2307,1474,624,209,1938,369,1903,404,1155,1152,903,1404,1,2007,1,99,0.222,1,3906,1,1,992,0.97,NA,1,"00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","Yes"
"5",100663,2010,"00105200",1052,1,3,2007,0.598564,0.515664,0.663627,0.740125,0.610187,0.577243,0.516093,0.716323,0.585721,0.622326,0.585526,0.607143,3064,1596,987,481,1983,1081,1802,1262,1989,1075,1216,1848,1,2005,1,99,0.443,1,9927,1,1,1355,0.88,NA,1,"00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,5275,9977,5875,21850652,21044358,5275,9977,5875,21850652,21044358,0,0,"","No"
"6",100663,2010,"00105200",1052,1,3,2007,0.598564,0.515664,0.663627,0.740125,0.610187,0.577243,0.516093,0.716323,0.585721,0.622326,0.585526,0.607143,3064,1596,987,481,1983,1081,1802,1262,1989,1075,1216,1848,1,2005,1,99,1,1,9927,1,1,1355,0.88,NA,1,"00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,5275,9977,5875,21850652,21044358,5275,9977,5875,21850652,21044358,0,0,"","No"
"8",100663,2012,"105200",1052,1,5,2007,0.634405,0.562748,0.69119,0.755218,0.645598,0.613288,0.566866,0.73213,0.621129,0.658843,0.619013,0.644685,3389,1761,1101,527,2215,1174,2004,1385,2196,1193,1357,2032,1,2007,1,99,1,1,9975,1,1,1481,0.9,NA,1,"00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"9",100663,2012,"105200",1052,1,5,2007,0.634405,0.562748,0.69119,0.755218,0.645598,0.613288,0.566866,0.73213,0.621129,0.658843,0.619013,0.644685,3389,1761,1101,527,2215,1174,2004,1385,2196,1193,1357,2032,1,2007,1,99,0.527,1,9975,1,1,1481,0.9,NA,1,"00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"10",100663,2012,"105200",1052,1,5,2007,0.634405,0.562748,0.69119,0.755218,0.645598,0.613288,0.566866,0.73213,0.621129,0.658843,0.619013,0.644685,3389,1761,1101,527,2215,1174,2004,1385,2196,1193,1357,2032,1,2007,1,99,0.528,1,9975,1,1,1481,0.9,NA,1,"00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"11",100690,2010,"02503400",25034,1,3,2007,0.496377,0.487179,-3,-3,-3,-3,0.459184,0.5875,0.463087,0.535433,0.488372,0.503401,276,156,101,19,15,261,196,80,149,127,129,147,1,2005,1,99,0.25,1,331,1,1,4,1,NA,1,"02503400","AMRIDGE UNIVERSITY",1,331,641,336,1133653,1127705,331,641,336,1133653,1127705,0,0,"","No"
"13",100690,2012,"2503400",25034,1,5,2007,0.549153,0.541667,-3,-3,-3,-3,0.535211,0.585366,0.521739,0.58209,0.514706,0.578616,295,168,108,19,15,280,213,82,161,134,136,159,1,2007,1,99,0.5,1,294,1,1,10,1,NA,1,"02503400","AMRIDGE UNIVERSITY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"15",100706,2010,"00105500",1055,1,3,2007,0.61843,0.518006,0.674897,0.793774,0.686927,0.517707,0.528281,0.755594,0.58655,0.6571,0.585687,0.637045,1465,722,486,257,872,593,884,581,803,662,531,934,1,2005,1,99,0.456,1,5211,1,1,550,0.92,NA,1,"00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE",1,2641,4943,2987,10583915,10578097,2641,4943,2987,10583915,10578097,0,0,"","No"
