"","X1","unitid","year","fips","opeid","inst_name_fsa","loan_type","loan_recipients_unitid","num_loans_disbursed_unitid","num_loans_originated_unitid","value_loans_originated_unitid","value_loan_disbursements_unitid","loan_recipients_opeid","num_loans_disbursed_opeid","num_loans_originated_opeid","value_loans_originated_opeid","value_loan_disbursements_opeid","allocation_flag","combined_flag","other_assoc_opeids","hbcu"
"1",15828,100654,2017,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"2",15829,100654,2017,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",3704,8328,4476,13915953,13915953,3704,8328,4476,13915953,13915953,"No","No",NA,"Yes"
"3",15830,100654,2017,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Direct Loan Parent PLUS",1224,2655,1367,14680936,14680936,1224,2655,1367,14680936,14680936,"No","No",NA,"Yes"
"4",15831,100654,2017,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"5",15832,100654,2017,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"6",15833,100654,2017,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"7",15834,100654,2017,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"8",15835,100663,2017,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"9",15836,100663,2017,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Unsubsidized Direct Loan&ndash,Undergraduate",6569,12910,7439,26955206,26955206,6569,12910,7439,26955206,26955206,"No","No",NA,"No"
"10",15837,100663,2017,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Direct Loan Parent PLUS",892,1847,1117,11989291,11989291,892,1847,1117,11989291,11989291,"No","No",NA,"No"
"11",15838,100663,2017,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"12",15839,100663,2017,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"13",15840,100663,2017,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"14",15841,100663,2017,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"15",15842,100690,2017,"Alabama","02503400","AMRIDGE UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"16",15843,100690,2017,"Alabama","02503400","AMRIDGE UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",395,1051,395,1891061,1891061,395,1051,395,1891061,1891061,"No","No",NA,"No"
"17",15844,100690,2017,"Alabama","02503400","AMRIDGE UNIVERSITY","Direct Loan Parent PLUS",5,20,5,74822,74822,5,20,5,74822,74822,"No","No",NA,"No"
"18",15845,100690,2017,"Alabama","02503400","AMRIDGE UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"19",15846,100690,2017,"Alabama","02503400","AMRIDGE UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"20",15847,100690,2017,"Alabama","02503400","AMRIDGE UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"21",15848,100690,2017,"Alabama","02503400","AMRIDGE UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"22",15849,100706,2017,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"23",15850,100706,2017,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Unsubsidized Direct Loan&ndash,Undergraduate",2731,5092,2984,11579115,11579115,2731,5092,2984,11579115,11579115,"No","No",NA,"No"
"24",15851,100706,2017,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Direct Loan Parent PLUS",374,727,435,4619532,4619532,374,727,435,4619532,4619532,"No","No",NA,"No"
"25",15852,100706,2017,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"26",15853,100706,2017,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"27",15854,100706,2017,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"28",15855,100706,2017,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"29",15856,100724,2017,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"30",15857,100724,2017,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",3138,7443,4058,12206376,12206376,3138,7443,4058,12206376,12206376,"No","No",NA,"Yes"
