"","unitid","year","opeid.x","fips.x.x","pp_years_since_entering_repay","pp_cohort_year.x","pp_repay_rate","pp_repay_rate_lowincome","pp_repay_rate_midincome","pp_repay_count_highincome","pp_race","pp_sex","grad rate","enrollment","received any aid","pct students receiving aid","pp_inst_name_fsa","pp_loan_type","pp_loan_recipients_unitid","pp_value_loan_disbursements_unitid","pp_hbcu","pp_average_loan","unsub_cohort_year.x","unsub_loan_type","unsub_loan_recipients_unitid","unsub_value_loan_disbursements_unitid","unsub_hbcu","unsub_average_loan"
"1",100654,2010,100200,1,3,2007,0.357312,0.344214,0.356522,190,1,99,0.231,4604,1,0.96,"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY",7,817,5563585,"Yes",6809.77356181151,2007,4,3800,16184642,"Yes",4259.11631578947
"2",100654,2010,100200,1,3,2007,0.357312,0.344214,0.356522,190,2,99,0.318,4604,1,0.96,"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY",7,817,5563585,"Yes",6809.77356181151,2007,4,3800,16184642,"Yes",4259.11631578947
"3",100654,2012,100200,1,5,2007,0.387516,0.377883,0.386218,209,2,99,0.292,3906,1,0.97,"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY",7,390,4295525,"Yes",11014.1666666667,2007,4,3466,16293597,"Yes",4700.98009232545
"4",100654,2012,100200,1,5,2007,0.387516,0.377883,0.386218,209,1,99,0.222,3906,1,0.97,"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY",7,390,4295525,"Yes",11014.1666666667,2007,4,3466,16293597,"Yes",4700.98009232545
"5",100690,2010,2503400,1,3,2007,0.496377,0.487179,-3,19,1,99,0.25,331,1,1,"AMRIDGE UNIVERSITY",7,2,7000,"No",3500,2007,4,330,1685143,"No",5106.49393939394
"6",100690,2010,2503400,1,3,2007,0.496377,0.487179,-3,19,2,99,NA,331,1,1,"AMRIDGE UNIVERSITY",7,2,7000,"No",3500,2007,4,330,1685143,"No",5106.49393939394
"7",100690,2012,2503400,1,5,2007,0.549153,0.541667,-3,19,2,99,NA,294,1,1,"AMRIDGE UNIVERSITY",7,1,6680,"No",6680,2007,4,380,1752956,"No",4613.04210526316
"8",100690,2012,2503400,1,5,2007,0.549153,0.541667,-3,19,1,99,0.5,294,1,1,"AMRIDGE UNIVERSITY",7,1,6680,"No",6680,2007,4,380,1752956,"No",4613.04210526316
"9",100706,2010,105500,1,3,2007,0.61843,0.518006,0.674897,257,1,99,0.456,5211,1,0.92,"UNIVERSITY OF ALABAMA IN HUNTSVILLE",7,225,1987740,"No",8834.4,2007,4,2668,12296922,"No",4609.04122938531
"10",100706,2010,105500,1,3,2007,0.61843,0.518006,0.674897,257,2,99,0.299,5211,1,0.92,"UNIVERSITY OF ALABAMA IN HUNTSVILLE",7,225,1987740,"No",8834.4,2007,4,2668,12296922,"No",4609.04122938531
"11",100706,2012,105500,1,5,2007,0.633416,0.532911,0.717514,283,2,99,0.472,5000,1,0.87,"UNIVERSITY OF ALABAMA IN HUNTSVILLE",7,173,1842586,"No",10650.7861271676,2007,4,2541,11864008,"No",4669.031090122
"12",100706,2012,105500,1,5,2007,0.633416,0.532911,0.717514,283,1,99,0.466,5000,1,0.87,"UNIVERSITY OF ALABAMA IN HUNTSVILLE",7,173,1842586,"No",10650.7861271676,2007,4,2541,11864008,"No",4669.031090122
"13",100724,2010,100500,1,3,2007,0.279599,0.256341,0.325123,131,1,99,0.294,4929,1,0.97,"ALABAMA STATE UNIVERSITY",7,807,6486399,"Yes",8037.66914498141,2007,4,4038,16145554,"Yes",3998.40366518078
"14",100724,2010,100500,1,3,2007,0.279599,0.256341,0.325123,131,2,99,0.264,4929,1,0.97,"ALABAMA STATE UNIVERSITY",7,807,6486399,"Yes",8037.66914498141,2007,4,4038,16145554,"Yes",3998.40366518078
"15",100724,2012,100500,1,5,2007,0.324123,0.302441,0.371257,148,2,99,0.252,5025,1,0.93,"ALABAMA STATE UNIVERSITY",7,441,4051266,"Yes",9186.54421768707,2007,4,4439,19994336,"Yes",4504.2432980401
"16",100724,2012,100500,1,5,2007,0.324123,0.302441,0.371257,148,1,99,0.083,5025,1,0.93,"ALABAMA STATE UNIVERSITY",7,441,4051266,"Yes",9186.54421768707,2007,4,4439,19994336,"Yes",4504.2432980401
"17",100751,2010,105100,1,3,2007,0.656691,0.552671,0.684299,936,2,99,0.589,23883,1,0.76,"UNIVERSITY OF ALABAMA",7,2170,35639712,"No",16423.8304147465,2007,4,10524,40236496,"No",3823.30824781452
"18",100751,2010,105100,1,3,2007,0.656691,0.552671,0.684299,936,1,99,0.667,23883,1,0.76,"UNIVERSITY OF ALABAMA",7,2170,35639712,"No",16423.8304147465,2007,4,10524,40236496,"No",3823.30824781452
"19",100751,2012,105100,1,5,2007,0.687598,0.582938,0.715694,1042,1,99,0.674,27148,1,0.75,"UNIVERSITY OF ALABAMA",7,2010,43987320,"No",21884.2388059701,2007,4,11192,42900312,"No",3833.12294496069
"20",100751,2012,105100,1,5,2007,0.687598,0.582938,0.715694,1042,2,99,0.566,27148,1,0.75,"UNIVERSITY OF ALABAMA",7,2010,43987320,"No",21884.2388059701,2007,4,11192,42900312,"No",3833.12294496069
"21",100760,2010,100700,1,3,2007,0.409814,0.342912,0.543478,48,2,99,0.202,2095,1,0.93,"CENTRAL ALABAMA COMMUNITY COLLEGE",7,3,11719,"No",3906.33333333333,2007,4,803,2846645,"No",3545.01245330012
"22",100760,2010,100700,1,3,2007,0.409814,0.342912,0.543478,48,1,99,0.247,2095,1,0.93,"CENTRAL ALABAMA COMMUNITY COLLEGE",7,3,11719,"No",3906.33333333333,2007,4,803,2846645,"No",3545.01245330012
"23",100760,2012,100700,1,5,2007,0.435631,0.365854,0.57672,47,2,99,0.03,1489,1,0.51,"CENTRAL ALABAMA COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,918,3023830,"No",3293.93246187364
"24",100760,2012,100700,1,5,2007,0.435631,0.365854,0.57672,47,1,99,0.113,1489,1,0.51,"CENTRAL ALABAMA COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,918,3023830,"No",3293.93246187364
"25",100830,2010,831000,1,3,2007,0.529625,0.447368,0.630832,173,1,99,0.413,4073,1,0.63,"AUBURN UNIVERSITY MONTGOMERY",7,179,1040973,"No",5815.49162011173,2007,4,2617,10589659,"No",4046.48796331677
"26",100830,2010,831000,1,3,2007,0.529625,0.447368,0.630832,173,2,99,0.187,4073,1,0.63,"AUBURN UNIVERSITY MONTGOMERY",7,179,1040973,"No",5815.49162011173,2007,4,2617,10589659,"No",4046.48796331677
"27",100830,2012,831000,1,5,2007,0.54738,0.465993,0.640684,180,1,99,0.302,3571,1,0.9,"AUBURN UNIVERSITY MONTGOMERY",7,93,758954,"No",8160.79569892473,2007,4,2278,9072073,"No",3982.47278314311
"28",100830,2012,831000,1,5,2007,0.54738,0.465993,0.640684,180,2,99,0.206,3571,1,0.9,"AUBURN UNIVERSITY MONTGOMERY",7,93,758954,"No",8160.79569892473,2007,4,2278,9072073,"No",3982.47278314311
"29",100858,2010,100900,1,3,2007,0.790281,0.682218,0.802172,1423,1,99,0.697,19659,1,0.78,"AUBURN UNIVERSITY",7,1385,22609464,"No",16324.5227436823,2007,4,6894,26859394,"No",3896.05366985785
"30",100858,2010,100900,1,3,2007,0.790281,0.682218,0.802172,1423,2,99,0.419,19659,1,0.78,"AUBURN UNIVERSITY",7,1385,22609464,"No",16324.5227436823,2007,4,6894,26859394,"No",3896.05366985785
"31",100858,2012,100900,1,5,2007,0.811785,0.712766,0.828967,1511,1,99,0.711,19635,1,0.76,"AUBURN UNIVERSITY",7,1344,27784920,"No",20673.3035714286,2007,4,6563,24661392,"No",3757.64010361115
"32",100858,2012,100900,1,5,2007,0.811785,0.712766,0.828967,1511,2,99,0.509,19635,1,0.76,"AUBURN UNIVERSITY",7,1344,27784920,"No",20673.3035714286,2007,4,6563,24661392,"No",3757.64010361115
"33",100937,2010,101200,1,3,2007,0.744493,0.612245,0.759494,99,1,99,0.637,1832,1,1,"BIRMINGHAM SOUTHERN COLLEGE",7,181,2589383,"No",14305.9834254144,2007,4,622,2296975,"No",3692.88585209003
"34",100937,2010,101200,1,3,2007,0.744493,0.612245,0.759494,99,2,99,0.476,1832,1,1,"BIRMINGHAM SOUTHERN COLLEGE",7,181,2589383,"No",14305.9834254144,2007,4,622,2296975,"No",3692.88585209003
"35",100937,2012,101200,1,5,2007,0.797619,0.648148,0.790123,117,2,99,0.357,1331,1,0.98,"BIRMINGHAM-SOUTHERN COLLEGE",7,123,1941842,"No",15787.3333333333,2007,4,556,2123221,"No",3818.7428057554
"36",100937,2012,101200,1,5,2007,0.797619,0.648148,0.790123,117,1,99,0.644,1331,1,0.98,"BIRMINGHAM-SOUTHERN COLLEGE",7,123,1941842,"No",15787.3333333333,2007,4,556,2123221,"No",3818.7428057554
"37",101028,2012,1218200,1,5,2007,0.351297,0.283465,-3,15,2,99,0.061,1431,1,0.94,"CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE",7,2,19990,"No",9995,2007,4,333,983183,"No",2952.5015015015
"38",101028,2012,1218200,1,5,2007,0.351297,0.283465,-3,15,1,99,0.204,1431,1,0.94,"CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE",7,2,19990,"No",9995,2007,4,333,983183,"No",2952.5015015015
"39",101143,2010,101500,1,3,2007,0.559172,0.454545,-3,27,2,99,0.255,2779,1,0.87,"ENTERPRISE STATE COMMUNITY COLLEGE",7,6,25003,"No",4167.16666666667,2007,4,321,830656,"No",2587.71339563863
"40",101143,2010,101500,1,3,2007,0.559172,0.454545,-3,27,1,99,0.468,2779,1,0.87,"ENTERPRISE STATE COMMUNITY COLLEGE",7,6,25003,"No",4167.16666666667,2007,4,321,830656,"No",2587.71339563863
"41",101143,2012,101500,1,5,2007,0.60452,0.494898,-3,28,2,99,0.089,2101,1,0.91,"ENTERPRISE STATE COMMUNITY COLLEGE",7,3,13845,"No",4615,2007,4,505,1453290,"No",2877.80198019802
"42",101143,2012,101500,1,5,2007,0.60452,0.494898,-3,28,1,99,0.134,2101,1,0.91,"ENTERPRISE STATE COMMUNITY COLLEGE",7,3,13845,"No",4615,2007,4,505,1453290,"No",2877.80198019802
"43",101161,2010,106000,1,3,2007,0.475238,0.361868,0.555831,133,1,99,0.14,4032,1,0.86,"JAMES H. FAULKNER STATE COMMUNITY COLLEGE",7,25,69685,"No",2787.4,2007,4,1031,2726668,"No",2644.68283220175
"44",101161,2010,106000,1,3,2007,0.475238,0.361868,0.555831,133,2,99,0.182,4032,1,0.86,"JAMES H. FAULKNER STATE COMMUNITY COLLEGE",7,25,69685,"No",2787.4,2007,4,1031,2726668,"No",2644.68283220175
"45",101161,2012,106000,1,5,2007,0.498188,0.391144,0.582547,138,2,99,0.121,3703,1,0.88,"JAMES H. FAULKNER STATE COMMUNITY COLLEGE",7,26,76101,"No",2926.96153846154,2007,4,1610,4213036,"No",2616.79254658385
"46",101161,2012,106000,1,5,2007,0.498188,0.391144,0.582547,138,1,99,0.093,3703,1,0.88,"JAMES H. FAULKNER STATE COMMUNITY COLLEGE",7,26,76101,"No",2926.96153846154,2007,4,1610,4213036,"No",2616.79254658385
"47",101189,2010,100300,1,3,2007,0.464219,0.355304,0.6,151,1,99,0.341,2837,1,1,"FAULKNER UNIVERSITY",7,155,1235565,"No",7971.38709677419,2007,4,2048,10417712,"No",5086.7734375
"48",101189,2010,100300,1,3,2007,0.464219,0.355304,0.6,151,2,99,0.333,2837,1,1,"FAULKNER UNIVERSITY",7,155,1235565,"No",7971.38709677419,2007,4,2048,10417712,"No",5086.7734375
"49",101189,2012,100300,1,5,2007,0.501176,0.396518,0.623274,159,1,99,0.249,2658,1,0.99,"FAULKNER UNIVERSITY",7,163,1416067,"No",8687.52760736196,2007,4,2073,10470785,"No",5051.02990834539
"50",101189,2012,100300,1,5,2007,0.501176,0.396518,0.623274,159,2,99,0.205,2658,1,0.99,"FAULKNER UNIVERSITY",7,163,1416067,"No",8687.52760736196,2007,4,2073,10470785,"No",5051.02990834539
"51",101295,2010,787100,1,3,2007,0.523376,0.439591,0.657676,89,1,99,0.21,5624,1,0.86,"GEORGE C. WALLACE STATE COMMUNITY COLLEGE",7,16,69467,"No",4341.6875,2007,4,2067,7141245,"No",3454.88388969521
"52",101295,2010,787100,1,3,2007,0.523376,0.439591,0.657676,89,2,99,0.178,5624,1,0.86,"GEORGE C. WALLACE STATE COMMUNITY COLLEGE",7,16,69467,"No",4341.6875,2007,4,2067,7141245,"No",3454.88388969521
"53",101295,2012,787100,1,5,2007,0.523726,0.440433,0.651485,94,2,99,0.107,4486,1,0.82,"GEORGE C. WALLACE STATE COMMUNITY COLLEGE",7,16,78083,"No",4880.1875,2007,4,2131,7140164,"No",3350.61661191929
"54",101295,2012,787100,1,5,2007,0.523726,0.440433,0.651485,94,1,99,0.204,4486,1,0.82,"GEORGE C. WALLACE STATE COMMUNITY COLLEGE",7,16,78083,"No",4880.1875,2007,4,2131,7140164,"No",3350.61661191929
"55",101435,2010,101900,1,3,2007,0.643533,0.481818,0.645669,80,1,99,0.579,1031,1,1,"HUNTINGDON COLLEGE",7,161,1346915,"No",8365.93167701863,2007,4,771,3336667,"No",4327.71335927367
"56",101435,2010,101900,1,3,2007,0.643533,0.481818,0.645669,80,2,99,0.056,1031,1,1,"HUNTINGDON COLLEGE",7,161,1346915,"No",8365.93167701863,2007,4,771,3336667,"No",4327.71335927367
"57",101435,2012,101900,1,5,2007,0.663889,0.544715,0.687075,90,2,99,0.477,1078,1,1,"HUNTINGDON COLLEGE",7,116,1201854,"No",10360.8103448276,2007,4,814,3598180,"No",4420.36855036855
"58",101435,2012,101900,1,5,2007,0.663889,0.544715,0.687075,90,1,99,0.428,1078,1,1,"HUNTINGDON COLLEGE",7,116,1201854,"No",10360.8103448276,2007,4,814,3598180,"No",4420.36855036855
"59",101453,2010,2199700,1,3,2007,0.566038,0.485714,-3,-3,1,99,NA,36,1,1,"HERITAGE CHRISTIAN UNIVERSITY",7,0,0,"No",NA,2007,4,34,142764,"No",4198.94117647059
"60",101453,2010,2199700,1,3,2007,0.566038,0.485714,-3,-3,2,99,NA,36,1,1,"HERITAGE CHRISTIAN UNIVERSITY",7,0,0,"No",NA,2007,4,34,142764,"No",4198.94117647059
"61",101453,2012,2199700,1,5,2007,0.538462,0.441176,-3,-3,1,99,NA,43,1,1,"HERITAGE CHRISTIAN UNIVERSITY",7,0,0,"No",NA,2007,4,28,133945,"No",4783.75
"62",101453,2012,2199700,1,5,2007,0.538462,0.441176,-3,-3,2,99,NA,43,1,1,"HERITAGE CHRISTIAN UNIVERSITY",7,0,0,"No",NA,2007,4,28,133945,"No",4783.75
"63",101480,2010,102000,1,3,2007,0.54179,0.460114,0.613208,346,2,99,0.224,7180,1,0.89,"JACKSONVILLE STATE UNIVERSITY",7,414,2201029,"No",5316.49516908213,2007,4,4380,18802704,"No",4292.85479452055
"64",101480,2010,102000,1,3,2007,0.54179,0.460114,0.613208,346,1,99,0.36,7180,1,0.89,"JACKSONVILLE STATE UNIVERSITY",7,414,2201029,"No",5316.49516908213,2007,4,4380,18802704,"No",4292.85479452055
"65",101480,2012,102000,1,5,2007,0.565172,0.485034,0.636899,365,2,99,0.246,6856,1,0.93,"JACKSONVILLE STATE UNIVERSITY",7,226,1608544,"No",7117.45132743363,2007,4,4329,19044760,"No",4399.34395934396
"66",101480,2012,102000,1,5,2007,0.565172,0.485034,0.636899,365,1,99,0.351,6856,1,0.93,"JACKSONVILLE STATE UNIVERSITY",7,226,1608544,"No",7117.45132743363,2007,4,4329,19044760,"No",4399.34395934396
"67",101505,2010,102200,1,3,2007,0.5204,0.423841,0.592511,143,2,99,0.09,6860,1,0.77,"JEFFERSON STATE COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,796,1777784,"No",2233.39698492462
"68",101505,2010,102200,1,3,2007,0.5204,0.423841,0.592511,143,1,99,0.127,6860,1,0.77,"JEFFERSON STATE COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,796,1777784,"No",2233.39698492462
"69",101505,2012,102200,1,5,2007,0.54893,0.456325,0.613497,155,1,99,0.066,6041,1,0.82,"JEFFERSON STATE COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,1026,2828949,"No",2757.26023391813
"70",101505,2012,102200,1,5,2007,0.54893,0.456325,0.613497,155,2,99,0.049,6041,1,0.82,"JEFFERSON STATE COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,1026,2828949,"No",2757.26023391813
"71",101514,2010,101300,1,3,2007,0.507977,0.410348,0.630915,188,1,99,0.125,8814,1,0.75,"CALHOUN COMMUNITY COLLEGE",7,21,83189,"No",3961.38095238095,2007,4,1469,3433776,"No",2337.49217154527
"72",101514,2010,101300,1,3,2007,0.507977,0.410348,0.630915,188,2,99,0.078,8814,1,0.75,"CALHOUN COMMUNITY COLLEGE",7,21,83189,"No",3961.38095238095,2007,4,1469,3433776,"No",2337.49217154527
"73",101514,2012,101300,1,5,2007,0.534688,0.442424,0.651057,201,2,99,0.08,7911,1,0.79,"CALHOUN COMMUNITY COLLEGE",7,13,54396,"No",4184.30769230769,2007,4,2873,8758557,"No",3048.57535676993
"74",101514,2012,101300,1,5,2007,0.534688,0.442424,0.651057,201,1,99,0.147,7911,1,0.79,"CALHOUN COMMUNITY COLLEGE",7,13,54396,"No",4184.30769230769,2007,4,2873,8758557,"No",3048.57535676993
"75",101541,2010,102300,1,3,2007,0.571429,0.492537,-3,21,2,99,0.429,309,1,1,"JUDSON COLLEGE",7,55,408209,"No",7421.98181818182,2007,4,192,654911,"No",3410.99479166667
"76",101541,2010,102300,1,3,2007,0.571429,0.492537,-3,21,1,99,0.387,309,1,1,"JUDSON COLLEGE",7,55,408209,"No",7421.98181818182,2007,4,192,654911,"No",3410.99479166667
"77",101541,2012,102300,1,5,2007,0.593103,0.492063,-3,21,1,99,0.453,343,1,1,"JUDSON COLLEGE",7,37,305024,"No",8243.89189189189,2007,4,247,1028480,"No",4163.88663967611
"78",101541,2012,102300,1,5,2007,0.593103,0.492063,-3,21,2,99,0.1,343,1,1,"JUDSON COLLEGE",7,37,305024,"No",8243.89189189189,2007,4,247,1028480,"No",4163.88663967611
"79",101648,2010,102600,1,3,2007,0.518072,-3,0.5,16,2,99,0.346,457,1,0.95,"MARION MILITARY INSTITUTE",7,21,95695,"No",4556.90476190476,2007,4,187,591110,"No",3161.01604278075
