,unitid,year,opeid.x,opeid6,fips.x.x,years_since_entering_repay,cohort_year.x,repay_rate,repay_rate_lowincome,repay_rate_midincome,repay_rate_highincome,repay_rate_dependent,repay_rate_independent,repay_rate_pell,repay_rate_nopell,repay_rate_female,repay_rate_male,repay_rate_firstgen,repay_rate_notfirstgen,repay_count,repay_count_lowincome,repay_count_midincome,repay_count_highincome,repay_count_dependent,repay_count_independent,repay_count_pell,repay_count_nopell,repay_count_female,repay_count_male,repay_count_firstgen,repay_count_notfirstgen,fips.y.x,cohort_year.y,race,sex,completion_rate_150pct,fips.x.y,est_fte,fips.y.y,type_of_aid,number_of_students,percent_of_students,average_amount,fips,opeid.y,inst_name_fsa,loan_type,loan_recipients_unitid,num_loans_disbursed_unitid,num_loans_originated_unitid,value_loans_originated_unitid,value_loan_disbursements_unitid,loan_recipients_opeid,num_loans_disbursed_opeid,num_loans_originated_opeid,value_loans_originated_opeid,value_loan_disbursements_opeid,allocation_flag,combined_flag,other_assoc_opeids,hbcu
1,100654,2010,100200,1002,1,3,2007,0.357312,0.344214,0.356522,0.452632,0.353604,0.376855,0.342545,0.425532,0.393064,0.322791,0.34881,0.362922,2113,1348,575,190,1776,337,1737,376,1038,1075,840,1273,1,2005,1,99,0.231,1,4604,1,1,1063,0.96,NA,1,100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,1,3598,7580,4166,13768620,13740317,3598,7580,4166,13768620,13740317,0,0,,Yes
3,100654,2012,100200,1002,1,5,2007,0.387516,0.377883,0.386218,0.45933,0.383901,0.406504,0.371519,0.462871,0.427706,0.347222,0.393134,0.383903,2307,1474,624,209,1938,369,1903,404,1155,1152,903,1404,1,2007,1,99,0.222,1,3906,1,1,992,0.97,NA,1,100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
11,100690,2010,2503400,25034,1,3,2007,0.496377,0.487179,-3,-3,-3,-3,0.459184,0.5875,0.463087,0.535433,0.488372,0.503401,276,156,101,19,15,261,196,80,149,127,129,147,1,2005,1,99,0.25,1,331,1,1,4,1,NA,1,2503400,AMRIDGE UNIVERSITY,1,331,641,336,1133653,1127705,331,641,336,1133653,1127705,0,0,,No
13,100690,2012,2503400,25034,1,5,2007,0.549153,0.541667,-3,-3,-3,-3,0.535211,0.585366,0.521739,0.58209,0.514706,0.578616,295,168,108,19,15,280,213,82,161,134,136,159,1,2007,1,99,0.5,1,294,1,1,10,1,NA,1,2503400,AMRIDGE UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
15,100706,2010,105500,1055,1,3,2007,0.61843,0.518006,0.674897,0.793774,0.686927,0.517707,0.528281,0.755594,0.58655,0.6571,0.585687,0.637045,1465,722,486,257,872,593,884,581,803,662,531,934,1,2005,1,99,0.456,1,5211,1,1,550,0.92,NA,1,105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,1,2641,4943,2987,10583915,10578097,2641,4943,2987,10583915,10578097,0,0,,No
17,100706,2012,105500,1055,1,5,2007,0.633416,0.532911,0.717514,0.756184,0.689906,0.548989,0.550308,0.761905,0.60791,0.664812,0.594872,0.655545,1604,790,531,283,961,643,974,630,885,719,585,1019,1,2007,1,99,0.466,1,5000,1,1,534,0.87,NA,1,105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
19,100724,2010,100500,1005,1,3,2007,0.279599,0.256341,0.325123,0.396947,0.275208,0.301624,0.267206,0.354054,0.3063,0.249175,0.267007,0.290049,2593,1853,609,131,2162,431,2223,370,1381,1212,1176,1417,1,2005,1,99,0.294,1,4929,1,1,1061,0.97,NA,1,100500,ALABAMA STATE UNIVERSITY,1,4084,8657,4791,15258912,15254551,4084,8657,4791,15258912,15254551,0,0,,Yes
21,100724,2012,100500,1005,1,5,2007,0.324123,0.302441,0.371257,0.405405,0.324947,0.320084,0.314899,0.38,0.338939,0.306186,0.311962,0.334197,2823,2007,668,148,2345,478,2423,400,1546,1277,1279,1544,1,2007,1,99,0.083,1,5025,1,1,1335,0.93,NA,1,100500,ALABAMA STATE UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
23,100751,2010,105100,1051,1,3,2007,0.656691,0.552671,0.684299,0.771368,0.687257,0.521807,0.5825,0.757288,0.655954,0.657578,0.620601,0.674892,3475,1348,1191,936,2833,642,2000,1475,1898,1577,1165,2310,1,2005,1,99,0.667,1,23883,1,1,4190,0.76,NA,1,105100,UNIVERSITY OF ALABAMA,1,8720,16307,9920,34688456,34508928,8720,16307,9920,34688456,34508930,0,0,,No
25,100751,2012,105100,1051,1,5,2007,0.687598,0.582938,0.715694,0.800384,0.71908,0.54866,0.618457,0.778313,0.685457,0.690214,0.664848,0.699022,3838,1477,1319,1042,3129,709,2178,1660,2111,1727,1283,2555,1,2007,1,99,0.674,1,27148,1,1,4738,0.75,NA,1,105100,UNIVERSITY OF ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
