"","unitid","year","fips","opeid","inst_name_fsa","loan_type","loan_recipients_unitid","num_loans_disbursed_unitid","num_loans_originated_unitid","value_loans_originated_unitid","value_loan_disbursements_unitid","loan_recipients_opeid","num_loans_disbursed_opeid","num_loans_originated_opeid","value_loans_originated_opeid","value_loan_disbursements_opeid","allocation_flag","combined_flag","other_assoc_opeids"
"1",100654,2010,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",3598,7580,4166,13768620,13740317,3598,7580,4166,13768620,13740317,"No","No",""
"2",100654,2010,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",3800,9675,5336,16424870,16184642,3800,9675,5336,16424870,16184642,"No","No",""
"3",100654,2010,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Direct Loan Parent PLUS",817,1883,1056,5611043,5563585,817,1883,1056,5611043,5563585,"No","No",""
"4",100654,2010,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"5",100654,2010,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"6",100654,2010,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"7",100654,2010,"Alabama","00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"8",100663,2010,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Subsidized Direct Loan&ndash,Undergraduate",5275,9977,5875,21850652,21044358,5275,9977,5875,21850652,21044358,"No","No",""
"9",100663,2010,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Unsubsidized Direct Loan&ndash,Undergraduate",5713,11205,6536,27365472,26262242,5713,11205,6536,27365471,26262242,"No","No",""
"10",100663,2010,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Direct Loan Parent PLUS",531,1051,624,4421566,4379772,531,1051,624,4421566,4379772,"No","No",""
"11",100663,2010,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"12",100663,2010,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"13",100663,2010,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"14",100663,2010,"Alabama","00105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"15",100690,2010,"Alabama","02503400","AMRIDGE UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",331,641,336,1133653,1127705,331,641,336,1133653,1127705,"No","No",""
"16",100690,2010,"Alabama","02503400","AMRIDGE UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",330,638,334,1702758,1685143,330,638,334,1702758,1685143,"No","No",""
